"v6_id","org_acronym","org_name","is_active"
"824","CWFA","Championship Wrestling From Atlanta","1"
"1011","CWFG","Championship Wrestling From Georgia","1"
"31","CWFH","Championship Wrestling From Hollywood","1"
"291","CWN","Catch Wrestling Norddeutschland","0"
"1909","CWP","Come On Wrestling Party","1"
"2542","CWP-2","Charity Wrestling Promotion","1"
"1810","CXW","Championship Xtreme Wrestling","1"
"2359","CXW-2","Connecticut Xtreme Wrestling","1"
"1117","CyberFight","CyberFight","1"
"867","CYN","Control Your Narrative","1"
"32","CZW","Combat Zone Wrestling","1"
"1313","D1PW","Division 1 Pro Wrestling","1"
"2351","D1W","Destination 1 Wrestling","0"
"136","d2p","DragonDoor","0"
"2341","D6W","Destination 6 Pro Wrestling","1"
"1129","DAE","Dark Arts Entertainment","1"
"2290","DAG","Dark Arts Gym","1"
"948","DallasCW","Dallas Championship Wrestling","1"
"967","Dandan","Matsue Dandan Pro-Wrestling","1"
"949","Darazu","Darazu Pro Wrestling","1"
"2372","DAW","Drag Attack Wrestling","1"
"281","DAWG","Dangerous Adrenaline Wrestling Gladiators","1"
"1311","DCCW","Destiny Christian Championship Wrestling","0"
"1750","DCCW-2","Duke City Championship Wrestling","1"
"1434","DCW","Diamond Championship Wrestling","1"
"1915","DCW-2","Dynamite Championship Wrestling","1"
"2021","DCW-3","Dominican Championship Wrestling","1"
"2228","DCW-4","Dropkick Championship Wrestling","1"
"2543","DCW-5","Devotion Championship Wrestling","1"
"1690","DCW-KY","Derby City Wrestling","1"
"692","DD","Dropkick Diabetes","1"
"1450","DDL","Duelo de Leyendas Lucha Libre","1"
"78","DDT","Dramatic Dream Team","1"
"2017","DDTLucha","DDT Lucha Libre","1"
"952","DDW","Do or Die Wrestling","1"
"991","Deadlock","DEADLOCK Pro Wrestling","1"
"950","Deathgrip","Death Grip Wrestling","1"
"533","DEEP","DEEP MMA","1"
"238","Defiant","Defiant Wrestling","0"
"951","DefiantPW","Defiant Pro Wrestling","1"
"278","DEFY","DEFY Wrestling","1"
"1703","DemandLucha","Demand Lucha","1"
"109","DEP","Daiwa Entertainment Pro Wrestling","1"
"764","Dera","Team Dera","0"
"1111","Destination","Destination Pro","1"
"1312","Destructo","Destructo Pro","1"
"664","DFC","DeathProof Fight Club","1"
"1751","DFC-2","Dynamite Fight Club","1"
"1336","DFJrFC","Dory Funk Jr. Funking Conservatory","1"
"2022","DFW","Dragon Fighting Wrestling","1"
"1749","DFWKartel","DFW Kartel Pro Wrestling","1"
"19","DG","Dragon Gate","1"
"480","DGUSA","Dragon Gate USA","1"
"345","DGW","Dorado Guapito Wrestling","1"
"1910","DHW","Dog House Wrestling","1"
"95","Diana","World Woman Pro Wrestling Diana","1"
"2559","DIE","Deathmatch Innovative Element","1"
"2289","DIPW","Damage Inc. Pro Wrestling","0"
"831","Discover","Discover Pro Wrestling","1"
"2240","DISCUS","Pro Wrestling DISCUS","1"
"856","Disobey","Disobey Wrestling","1"
"1100","Distrito57","Distrito57 Lucha Libre","1"
"858","DivinePro","Divine Pro Wrestling","1"
"268","Division","Division Pro Wrestling","1"
"2213","DIY","DIY Wrestling","1"
"1989","DKingdom","Dragon Kingdom","1"
"1833","DKP","Dai Kaiju Pro Wrestling","0"
"1016","DKW","Dropkixx Wrestling","1"
"343","DLF","Dantes Lucha Factory","1"
"794","DMDU","Deathmatch Downunder","1"
"2235","DMOutlaws","Deathmatch Outlaws","1"
"2020","DMS","DMS Academy of Pro Wrestling","1"
"1249","DN","DN Wrestling","1"
"1704","DNA","DNA Pro Wrestling","1"
"739","DNP","Dera Nagoya Pro","0"
"134","DOA","Don't Own Anyone Pro Wrestling","1"
"1761","DOA-2","Dynamic Over The Top Wrestling UK","1"
"1580","Dockers","Dockers Wrestling","1"
"779","Dojo","Dojo Pro","1"
"1811","DonanRing","Donan Ring","1"
"344","Doomsday","Doomsday Wrestling","1"
"2198","Dosukoi","Dosukoi Pro Wrestling","0"
"668","Doutonbori","Doutonbori Pro Wrestling","1"
"656","Dove","Dove Pro Wrestling","1"
"859","DPCW","Dogg Pound Championship Wrestling","1"
"171","DPW","Dynamo Pro Wrestling","1"
"2471","DPW-10","Dragonslayer Pro Wrestling","1"
"2517","DPW-11","Dutch Pro Wrestling","1"
"2018","DPW-2","Delta Pro Wrestling","1"
"1316","DPW-3","Dynamic Pro Wrestling","1"
"2019","DPW-4","Delta Pro Wrestling","1"
"2023","DPW-5","Dream Pro Wrestling","1"
"2024","DPW-6","Dungeon Pro Wrestling","1"
"2025","DPW-7","Durban Pro Wrestling","1"
"2180","DPW-8","Desire Pro Wrestling","1"
"2352","DPW-9","Doomsday Pro Wrestling","1"
"133","DR","Diamond Ring","0"
"135","Dradition","Dradition Pro Wrestling","1"
"2291","DragonCon","DragonCon","1"
"137","DREAM","DREAM","0"
"1629","DREAM-2","DREAM Wrestling","1"
"2534","DreamCatchers","Dream Catchers (Japan)","0"
"758","Dreamers","Pro-Wrestling Dreamers","0"
"432","DREAMS","DREAMS Project","0"
"1568","DreamSlam","DreamSlam Wrestling","1"
"292","DREAMWAVE","DREAMWAVE Wrestling","0"
"693","DRKLGHT","DRKLGHT Wrestling","0"
"2398","DrongBrothers","Drong Brothers Lucha Libre","1"
"1310","DSCW","Deep Southern Championship Wrestling","1"
"857","DSRPTR","Disruptor Pro Wrestling","1"
"218","DSW","Deep South Wrestling","0"
"2026","DSW-2","Dynamic Sicilian Wrestling","1"
"1315","DT","Double Trouble Wrestling","0"
"34","DTU","Desastre Total Ultraviolento","1"
"1601","Dungeon","Dungeon Wrestling","1"
"1130","DUSK","DUSK Pro","1"
"149","Duvanddi","Promociones Duvanddi","1"
"259","DW","Discovery Wrestling","1"
"102","DWA","Deutsche Wrestling Allianz","1"
"1970","DWA-2","Doshisha Wrestling Alliance","1"
"1314","DWE","Dominican Wrestling Entertainment","1"
"1674","DWMR","Dude, Where's My Ring?","1"
"138","DWOW","Dangerous Women of Wrestling","1"
"666","DWW","Destiny World Wrestling","1"
"1017","DX","DX Pro Wrestling","1"
"2370","DXCN","Dexcon","1"
"1115","DynamicCW","Dynamic Championship Wrestling","1"
"1193","DZW","Domination Zone Wrestling","1"
"953","EasternAW","Eastern All-Star Wrestling","1"
"1773","EASW","Erie's All Star Wrestling","1"
"143","EAW","Extreme Air Wrestling","1"
"1326","EAW-2","Extreme American Wrestling","1"
"1834","EAW-3","Extreme Action Wrestling","1"
"2429","EbersCatch","EbersCatch","1"
"1623","EBW","Entertainment Battleground Wrestling","1"
"121","ECCW","Elite Canadian Championship Wrestling","1"
"534","ECPW","East Coast Pro Wrestling","1"
"4","ECW","Extreme Championship Wrestling","0"
"535","ECW-2","Elite Championship Wrestling","1"
"1327","ECW-3","Extreme Chaos Wrestling","0"
"1889","ECW-4","Extreme Capital Wrestling","1"
"139","ECWA","East Coast Wrestling Association","1"
"741","EDW","Extreme Dwarfanators Wrestling","1"
"2236","EEE","Enjoy! Ekinan Entertainment","1"
"346","EELPW","Esto Es Lucha Pro-Wrestling","1"
