"v6_id","org_acronym","org_name","is_active"
"1539","SCW-6","Sin City Wrestling","0"
"1936","SCW-7","Superior Championship Wrestling","1"
"2386","SCW-8","Salford City Wrestling","1"
"561","SCW-F","Southern Championship Wrestling","1"
"277","SCWE","Scottish Wrestling Entertainment","1"
"1828","SDPW","San Diego Pro Wrestling","1"
"562","SDW","Steel Domain Wrestling","0"
"662","seadlinnng","SEAdLINNNG","1"
"2118","Seafood","Seafood Pro Wrestling","1"
"320","SecretBase","Pro Wrestling Secret Base","1"
"2347","Seikendo","Seikendo Pro Wrestling","0"
"2209","Sekai","Sekai No Pro Wrestling","0"
"1595","Sem","Pro Wrestling Sem","0"
"321","Sendai","Sendai Girls' Pro Wrestling","1"
"1200","SETUP","SETUP Thailand Pro Wrestling","1"
"505","SEW","Sports Entertainment Wrestling","0"
"1796","SEW-2","Southern Extreme Wrestling","1"
"1198","SFC","Sanctuary Fight Club","1"
"1591","SFPW","Suburban Fight Pro Wrestling","1"
"1952","SFW","Southeast First Wrestling","1"
"2126","SG","Stomping Ground","1"
"1219","SGW","Sacrifice For Glory Wrestling","1"
"2221","SGW-2","Soft Ground Wrestling","1"
"1607","SHEVOLUTION","SHEVOLUTION","1"
"762","SHI-EN","Pro-Wrestling SHI-EN","0"
"60","Shimmer","Shimmer Women Athletes","1"
"49","SHINE","SHINE Wrestling","1"
"2120","SGPW","Shinshu Girls Pro Wrestling","1"
"2418","Shotomania","Shotomania","1"
"1561","Showcase","The Wrestling Showcase","1"
"2121","Showdown","Showdown Wrestling","1"
"905","Showtime","Showtime Pro Wrestling","1"
"2187","SHP","Sean Henderson Presents","1"
"1162","SHW","Southern Honor Wrestling","1"
"1542","SHWA","Southern Hemisphere Wrestling Alliance","1"
"987","SingPW","Singapore Pro Wrestling","1"
"1120","Sirius","Sirius Sports Entertainment","1"
"1537","SIW","Scuola Italiana Wrestling","1"
"1873","SIW-Italy","Support Italian Wrestling","1"
"1655","SL","SL Promotions","1"
"2123","Slam-Fin","Slam! Wrestling (Finland)","1"
"2321","SLAMPORTAL","SLAM PORTAL","1"
"2122","SlamPWL","Slam! Pro Wrestling League","1"
"2557","Slavonic","Slavonic Ultraviolence","1"
"2419","SLL","Sociedad Lucha Libre","1"
"2417","SLPW","Santa Lucha Pro Wrestling","1"
"508","SLW","Supreme League of Wrestling","0"
"1606","SMASH","SMASH","1"
"211","SMASH-CA","Smash Wrestling","1"
"93","SmashJapan","Smash (Japan)","0"
"1681","SmashMaster","Smash Master Wrasslin'","1"
"1953","SMP","Spot Monkey Promotions","1"
"777","SMPW","Soul Mode Pro Wrestling","1"
"1393","SMPW-2","Senjimae Pro Wrestling","1"
"16","SMW","Smoky Mountain Wrestling","0"
"1540","SMW-2","Smash Mouth Wrestling","1"
"1576","SNEW","See No Evil Wrestling","1"
"652","SNPW","Stricktly Nsane Pro Wrestling","1"
"1902","SNW","Super Nova Wrestling","1"
"1935","SNW-2","Sovereign Nation Wrestling","1"
"1072","SOAR","SOAR Championship Wrestling","1"
"706","SoberSlam","Sober Slam","1"
"2388","SOC","Stomp Out Cancer","1"
"1099","sololucha","Solo Lucha","1"
"1067","SOM","School of Morton","1"
"1220","Sonoran","Sonoran Championship Wrestling","1"
"1068","SOS","School of Slam","1"
"1201","SOSPW","SOS Pro Wrestling","1"
"821","SOVPRO","Sovereign Pro Wrestling","1"
"1852","SOW","Superstars of Wrestling","1"
"2565","SOW-2","Superstars of Wrestling (George Cannon Promotion)","0"
"1738","SPARK","SPARK Joshi Puroresu of America","1"
"2323","Sparkle","Sparkle Ladies Pro Wrestling","0"
"2420","Spawnn","Spawnn Lucha Libre","1"
"1940","SPCW","South Plains Championship Wrestling","1"
"2525","SPCW-2","Southern Pride Championship Wrestling","1"
"1641","Spectrum","Spectrum Wrestling","1"
"907","Spirit","Spirit Wrestling","1"
"1900","SPLL","Skyfire Pro Lucha Libre","0"
"1911","SPO","Super Powers of Wrestling","1"
"114","Sportiva","Sportiva Entertainment","1"
"2127","SPP","Super Parka Promotions","1"
"212","SPW","SoCal Pro Wrestling","1"
"1543","SPW-2","Spanish Pro Wrestling","0"
"1795","SPW-3","Shield Pro Wrestling","0"
