"v6_id","org_acronym","org_name","is_active"
"2432","ICW-2","Inner City Wrestling","1"
"2050","ICW-Aus","ICW Australia","1"
"728","ICW-NHB","ICW: No Holds Barred","1"
"2296","IEW","Illinois Elite Wrestling","1"
"2153","IFF","IMPACT Fighting Federation","1"
"958","IGB","Intergender Bonanza","1"
"38","IGF","Inoki Genome Federation","1"
"620","Ignite","IGNITE Wrestling","0"
"1211","IgniteUK","Ignite Wrestling Pro","1"
"1186","IGPW","Iron Girders Pro Wrestling","1"
"871","IHP","Iron Heart Pro","1"
"2272","IHPW","International High Powered Wrestling","0"
"436","IHW","Insane Hardcore Wrestling","0"
"1504","IHW-2","Innovative Hybrid Wrestling","1"
"543","IHWE","Iconic Heroes of Wrestling Excellence","1"
"1026","IHWE2","Insane Hardcore Wrestling Entertainment","1"
"640","ILL","Imperio Lucha Libre","1"
"1500","Impulse","Impulse Pro Wrestling","1"
"8","IND","Independent &amp; Miscellaneous","1"
"2200","IndyDeathCru","Indiana Death Cru","1"
"1502","Indygurlz","Indygurlz","1"
"2404","IndyWrestling","Indy Wrestling","1"
"1609","Infamous","Infamous Wrestling","1"
"1975","Infamous-2","Infamous","1"
"1503","Infinite","Infinite Promotions","0"
"203","Innovate","Innovate Pro Wrestling","1"
"869","InOut","InOut Wrestling","1"
"182","Insanity","Insanity Pro Wrestling","1"
"1859","Integrity","Integrity Sports Entertainment Australia","1"
"870","Invictus","Invictus Pro Wrestling","1"
"161","IPW","Impact Pro Wrestling","1"
"2052","IPW-2","Iran Pro Wrestling","1"
"2265","IPW-3","Independent Pro Wrestling","1"
"1141","IPW-H","IPW Hardcore Wrestling","1"
"1027","IPWA","Israeli Pro Wrestling Association","1"
"1352","IPWA-2","Independent Pro Wrestling Alliance","0"
"717","IPWGermany","Independent Pro Wrestling Germany","1"
"154","IPWUK","International Pro Wrestling: United Kingdom","0"
"1471","IRA","IRA Rebeldia Libre","1"
"1028","Ironfist","Ironfist Wrestling","1"
"184","ISDub","Interspecies Wrestling","1"
"1029","Isesaki","Isesaki Pro Wrestling","1"
"748","Ishikura","Ishikura Dojo","0"
"959","itabashi","Itabashi Pro Wrestling","1"
"158","ITAL","Italian Championship Wrestling","1"
"795","IWA","International Wrestling Association","0"
"544","IWA-2","International Wrestling Australia","1"
"2054","IWA-3","Italian Wrestling Association","1"
"2431","IWA-CAN","Independent Wrestling Academy (Canada)","1"
"302","IWA-CW","IWA Championship Wrestling","0"
"181","IWA-DS","IWA Deep South","1"
"180","IWA-EC","IWA East Coast","1"
"173","IWA-J","IWA Japan","0"
"2476","IWA-Thailand","International Wrestling Association Thailand","1"
"716","IWACAN","International Wrestling Alliance (Canada)","0"
"112","IWAMS","IWA Mid South","1"
"197","IWAU","IWA Unlimited","1"
"83","IWC","International Wrestling Cartel","1"
