artist
"""Boogie Woogie Man"" Jimmy Valiant"
"""Brother"" Yasshi"
"""Captain Hustle"" Naoya Ogawa"
"""Crunk Daddy P"" Patrick Sim Sturrock"
"""Geronimo"" Takahiro Gomi"
"""Macho Man"" Randy Savage"
"""Mean"" Gene Okerlund"
"""Prince"" Terra Aziz"
"""Rapper Man"" Dru"
"""The Phantom Of The Opera"" Original London Cast"
"""Weird Al"" Yankovic"
#Psy Brazil#
$moon
$uicideboy$
$uicideboy$ x Germ
(Arranged by) John Cacavas
(hed) p.e.
*NSYNC
:wumpscut:
???
??? + Fluke
??? + Grupo Kual? Dinastía Pedraz
????
[Q]brick
¡MAYDAY!
¡MAYDAY! x MURS
¡Vamos!
+44
009 Sound System
1‚ 2‚ 3‚ You're Out
10 Fold
10 Years
100 gecs
1000 Homo DJs
10-FEET
112
116 Clique
11after
12 60 Boy
12 Stones
12|60 Boy
1650 B'Way
175R
183rd
1-8-7
1-Up
2 Chains
2 Chainz
2 Examples
2 Live Crew
2 Skinnee J's
2 Unlimited
20 Fingers
2050
21
21 Gun Salute
21 Savage
21g
2BACKKA
2Gether
2KBaby
2KIDZ
2NE1
2Pac
2-Pac
2PM
2WEI
3 Doors Down
3 Inches of Blood
3 Live Kru
3 One Oh
3 Theory
30 Seconds to Mars
311
331
331Music
369Music
3against1
3BallMTY
3OH!3
3ohblack
3rd Bass
4 Non Blondes
40 Below Summer
40 Glocc
42 Dugg
48th Highlanders of Canada
4Hook
4Minute
5 Elements
5 Seconds of Summer
50 Cent
5ive
65daysofstatic
'68
6IX9INE
7 Days Away
78violet
7Lions
7th Cross
7th EMP
8 Ball
8 Degrees
80 Empire
83Crutch
86it
88 Fingers Louie
8Ball
8Lb Pressure
9maBear
9mm Parabellum Bullet
A
A Boogie Wit da Hoodie
A Dark Halo
A Day to Remember
A Few Pennies Short
A Flock of Seagulls
A Life Once Lost
A Light Divided
A Perfect Circle
A Skillz and Thomas D Mills
A Static Lullaby
A Thousand Enemies
A Town Supreme
A Tribe Called Quest
A Tribe Called Red
A Tribe Called Red feat.Northern Voice
A$AP Ferg
A$AP Rocky
A*Teens
A. Kelley
A. Sizz
A.B. Quintanilla III
A.B. Quintanilla III y Los Kumbia Kings
A.I. The Anomaly
A.J.
A.J. Francis
A.R. Rahman
A_Rival
A-1
A1-Joko
AAA
AAP
Aardvark
Aaron Anderson
Aaron Antczak
Aaron Frederick Laszlo Wheeler
Aaron Gaffney Jr.
Aaron Gilbert
Aaron Gillespie
Aaron Hall
Aaron Harry
Aaron James Eckardt
Aaron James Sapp
Aaron Kelley
Aaron Levy
Aaron Matts
Aaron Miller
