"name_full","name_sort","year_born","year_died","is_dead","org_acronym"
"Stevie Richards","Stevie Richards",,,"0","ECW"
"Súper Crazy","Super Crazy",,,"0","ECW"
"Super Destroyers","Super Destroyers",,,"0","ECW"
"Taka Michinoku","Taka Michinoku",,,"0","ECW"
"Tammy Lynn Sytch","Tammy Lynn Sytch",,,"0","ECW"
"Tarzan Goto","Tarzan Goto","1963","2022","1","ECW"
"Taz","Taz",,,"0","ECW"
"Terry Funk","Terry Funk","1944","2023","1","ECW"
"Terry Gordy","Terry Gordy","1961","2001","1","ECW"
"Tito Santana","Tito Santana",,,"0","ECW"
"Tommy Cairo","Tommy Cairo",,,"0","ECW"
"Tommy Dreamer","Tommy Dreamer",,,"0","ECW"
"Tommy Rich","Tommy Rich",,,"0","ECW"
"Tommy Rogers","Tommy Rogers","1961","2015","1","ECW"
"Tony DeVito","Tony DeVito",,,"0","ECW"
"Tony Mamaluke","Tony Mamaluke",,,"0","ECW"
"Tony Stetson","Tony Stetson",,,"0","ECW"
"Tracey Smothers","Tracey Smothers","1962","2020","1","ECW"
"Uganda","Uganda",,,"0","ECW"
"Vampire Warrior","Vampire Warrior",,,"0","ECW"
"Vic Grimes","Vic Grimes",,,"0","ECW"
"Vito LoGrasso","Vito LoGrasso",,,"0","ECW"
"Yoshihiro Tajiri","Yoshihiro Tajiri",,,"0","ECW"
"A-1","A-1",,,"0","TNA"
"Abismo Negro","Abismo Negro","1971","2009","1","TNA"
"Abyss","Abyss",,,"0","TNA"
"Ace Steel","Ace Steel",,,"0","TNA"
"AJ Styles","AJ Styles",,,"0","TNA"
"Alex Shelley","Alex Shelley",,,"0","TNA"
"Alexis Laree","Alexis Laree",,,"0","TNA"
"The Amazing Red","Amazing Red",,,"0","TNA"
"Andrew Martin","Andrew Martin","1975","2009","1","TNA"
"Andy Douglas","Andy Douglas",,,"0","TNA"
"Angelina Love","Angelina Love",,,"0","TNA"
"Apolo","Apolo",,,"0","TNA"
"April Hunter","April Hunter",,,"0","TNA"
"Athena","Athena",,,"0","TNA"
"Austin Aries","Austin Aries",,,"0","TNA"
"Awesome Kong","Awesome Kong",,,"0","TNA"
"Kahoneys","Kahoneys","1972","2016","1","TNA"
"Belladonna","Belladonna","1979","2019","1","TNA"
"BG James","BG James",,,"0","TNA"
"Big Fat Oily Guy","Big Fat Oily Guy",,,"0","TNA"
"Big Vito","Big Vito",,,"0","TNA"
"Bill Behrens","Bill Behrens",,,"0","TNA"
"Black Reign","Black Reign",,,"0","TNA"
"Rocky Romero","Rocky Romero",,,"0","TNA"
"Bo Dupp","Bo Dupp",,,"0","TNA"
"Bob Armstrong","Bob Armstrong","1939","2020","1","TNA"
"Bob Backlund","Bob Backlund",,,"0","TNA"
"Bobby Eaton","Bobby Eaton","1958","2021","1","TNA"
"Booker T","Booker T",,,"0","TNA"
"Brian Gamble","Brian Gamble",,,"0","TNA"
"Brian Lawler","Brian Lawler","1972","2018","1","TNA"
"Brian Lee","Brian Lee",,,"0","TNA"
"Brian Urlacher","Brian Urlacher",,,"0","TNA"
"Brother Runt","Brother Runt",,,"0","TNA"
"Alan Funk","Alan Funk",,,"0","TNA"
"Bruno Sassi","Bruno Sassi",,,"0","TNA"
"Buck Quartermain","Buck Quartermain",,,"0","TNA"
"Buff Bagwell","Buff Bagwell",,,"0","TNA"
"Cassidy Riley","Cassidy Riley",,,"0","TNA"
"Chad Collyer","Chad Collyer",,,"0","TNA"
"Chase Stevens","Chase Stevens",,,"0","TNA"
"Cheex","Cheex",,,"0","TNA"
"Chris Candido","Chris Candido","1972","2005","1","TNA"
"Chris Harris","Chris Harris",,,"0","TNA"
"Chris K","Chris K","1970","2010","1","TNA"
"Chris Rock","Chris Rock",,,"0","TNA"
"Chris Sabin","Chris Sabin",,,"0","TNA"
"Chris Vaughn","Chris Vaughn",,,"0","TNA"
"Christian Cage","Christian Cage",,,"0","TNA"
"Christopher Daniels","Christopher Daniels",,,"0","TNA"
"Christy Hemme","Christy Hemme",,,"0","TNA"
"CM Punk","CM Punk",,,"0","TNA"
"Cobain","Cobain",,,"0","TNA"
"Consequences Creed","Consequences Creed",,,"0","TNA"
