"name_full","name_sort","year_born","year_died","is_dead","org_acronym"
"Bruiser Bedlam","Bruiser Bedlam","1963","2017","1","SMW"
"Buddy Landel","Buddy Landel","1961","2015","1","SMW"
"Cactus Jack","Cactus Jack",,,"0","SMW"
"Chris Candido","Chris Candido","1972","2005","1","SMW"
"Hideki Hosaka","Hideki Hosaka","1971","2021","1","FMW"
"Hido","Hido","1969","2021","1","FMW"
"Coach Trip","Coach Trip",,,"0","ICW"
"Chris Michaels","Chris Michaels",,,"0","SMW"
"Danny Davis","Danny Davis",,,"0","SMW"
"Hisakatsu Oya","Hisakatsu Oya",,,"0","FMW"
"Dirty White Boy","Dirty White Boy",,,"0","SMW"
"Dr. Tom Prichard","Dr. Tom Prichard",,,"0","SMW"
"Kaori Nakayama","Kaori Nakayama",,,"0","FMW"
"Dutch Mantell","Dutch Mantell",,,"0","SMW"
"Eddie Gilbert","Eddie Gilbert","1961","1995","1","SMW"
"Marco Corleone","Marco Corleone",,,"0","AAA"
"Killer Iwami","Killer Iwami",,,"0","FMW"
"Yukihiro Kanemura","Yukihiro Kanemura",,,"0","FMW"
"Kodo Fuyuki","Kodo Fuyuki","1960","2003","1","FMW"
"Koji Nakagawa","Koji Nakagawa",,,"0","FMW"
"Jim Cornette","Jim Cornette",,,"0","SMW"
"Jimmy Del Ray","Jimmy Del Ray","1962","2014","1","SMW"
"Jimmy Golden","Jimmy Golden",,,"0","SMW"
"Masato Tanaka","Masato Tanaka",,,"0","FMW"
"Megumi Kudo","Megumi Kudo",,,"0","FMW"
"Kevin Sullivan","Kevin Sullivan","1949","2024","1","SMW"
"Killer Kyle","Killer Kyle",,,"0","SMW"
"Mike Furnas","Mike Furnas",,,"0","SMW"
"The Mongolian Stomper","Mongolian Stomper","1936","2016","1","SMW"
"Miwa Sato","Miwa Sato",,,"0","FMW"
"The Nightstalker","Nightstalker",,,"0","SMW"
"Prince Kharis","Prince Kharis",,,"0","SMW"
"The Punisher","Punisher",,,"0","SMW"
"Mr. Gannosuke","Mr. Gannosuke",,,"0","FMW"
"Ricky Morton","Ricky Morton",,,"0","SMW"
"Mr. Pogo","Mr. Pogo","1951","2017","1","FMW"
"Robert Gibson","Robert Gibson",,,"0","SMW"
"Ricky Fuji","Ricky Fuji",,,"0","FMW"
"Sgt. Rock","Sgt. Rock",,,"0","SMW"
"Sena Wakana","Sena Wakana",,,"0","FMW"
"Terry Gordy","Terry Gordy","1961","2001","1","SMW"
"Tim Horner","Tim Horner",,,"0","SMW"
"Shark Tsuchiya","Shark Tsuchiya",,,"0","FMW"
"Shawn Michaels","Shawn Michaels",,,"0","FMW"
"Tracy Smothers","Tracy Smothers","1962","2020","1","SMW"
"Unabomb","Unabomb",,,"0","SMW"
"Dixie Dy-no-mite","Dixie Dy-no-mite",,,"0","SMW"
"Leatherface","Leatherface","1957","2021","1","FMW"
"Terry Funk","Terry Funk","1944","2023","1","FMW"
"Tetsuhiro Kuroda","Tetsuhiro Kuroda",,,"0","FMW"
"The Gladiator","Gladiator","1965","2007","1","FMW"
"The Headhunters","Headhunters",,,"0","FMW"
"Tiger Jeet Singh","Tiger Jeet Singh",,,"0","FMW"
"Tsuppari Mack","Tsuppari Mack",,,"0","FMW"
"Yukie Nabeno","Yukie Nabeno",,,"0","FMW"
"Silver King","Silver King","1968","2019","1","AAA"
"Los Perros del Mal (Faction)","Los Perros del Mal (Faction)",,,"0","AAA"
"Taya","Taya",,,"0","AAA"
"Perro Aguayo Jr.","Perro Aguayo Jr.","1979","2015","1","AAA"
"Asosan","Asozan",,,"0","M-PRO"
"Wellington Wilkins Jr.","Wellington Wilkins Jr.","1965","2007","1","M-PRO"
"Bobby Blaze","Bobby Blaze",,,"0","M-PRO"
"Chinnen Hokkai","Chinnen Hokkai",,,"0","M-PRO"
"Curry Man","Curry Man",,,"0","M-PRO"
"Daichi Sasaki","Daichi Sasaki",,,"0","M-PRO"
"Daisuke Sasaki","Daisuke Sasaki",,,"0","M-PRO"
"Dick Togo","Dick Togo",,,"0","M-PRO"
"Dynamite Tohoku VIII","Dynamite Tohoku VIII",,,"0","M-PRO"
"Fujita 'Jr.' Hayato","Fujita 'Jr.' Hayato",,,"0","M-PRO"
"Rob Terry","Rob Terry",,,"0","AAA"
"Gran Naniwa","Gran Naniwa","1976","2010","1","M-PRO"
"The Great Sasuke","Great Sasuke",,,"0","M-PRO"
"Hanzo Nakajima","Hanzo Nakajima",,,"0","M-PRO"
"Metalik","Metalik",,,"0","CMLL"
"Hayate","Hayate",,,"0","M-PRO"
"Ikuto Hidaka","Ikuto Hidaka",,,"0","M-PRO"
"Jinsei Shinzaki","Jinsei Shinzaki",,,"0","M-PRO"
"Kai En Tai (Faction)","Kaientai (Faction)",,,"0","M-PRO"
"Felino","Felino",,,"0","CMLL"
"GAINA","GAINA",,,"0","M-PRO"
"ken45","ken45",,,"0","M-PRO"
"Kenou","Kenou",,,"0","M-PRO"
"K-ness","K-ness",,,"0","M-PRO"
"Kowloon","Kowloon",,,"0","M-PRO"
"Los Carros Exoticos","Los Carros Exoticos",,,"0","M-PRO"
"Masaru Seno","Masaru Seno",,,"0","M-PRO"
"MEN's Teioh","MEN's Teioh",,,"0","M-PRO"
"Michinoku Ninja Turtles","Michinoku Ninja Turtles",,,"0","M-PRO"
"Minoru Fujita","Minoru Fujita",,,"0","M-PRO"
"Real Fuerza Aérea (Faction)","Real Fuerza Aerea (Faction)",,,"0","AAA"
"Mr. Cacao","Mr. Cacao",,,"0","M-PRO"
"Mr.PUSSY","Mr.PUSSY",,,"0","M-PRO"
"Rasse","Rasse",,,"0","M-PRO"
"Rui Hiugaji","Rui Hiugaji",,,"0","M-PRO"
"Taro Nohashi","Taro Nohashi",,,"0","M-PRO"
"Shoichi Funaki","Shoichi Funaki",,,"0","M-PRO"
"Super Delfin","Super Delfin",,,"0","M-PRO"
"TAKA Michinoku","TAKA Michinoku",,,"0","M-PRO"
"Tiger Mask IV","Tiger Mask IV",,,"0","M-PRO"
"Tsubo Genjin","Tsubo Genjin",,,"0","M-PRO"
"Último Gladiador","Ultimo Gladiador",,,"0","AAA"
"Último Dragón","Ultimo Dragon",,,"0","M-PRO"
"Aki Kambayashi","Aki Kambayashi",,,"0","2AW"
"Apple Miyuki","Apple Miyuki",,,"0","2AW"
"Bambi","Bambi",,,"0","2AW"
"Hajime Ishikawa","Hajime Ishikawa",,,"0","2AW"
"Hi69","Hi69",,,"0","2AW"
"JOE","JOE",,,"0","2AW"
"Joe Aoyama","Joe Aoyama",,,"0","2AW"
"Juventud Guerrera","Juventud Guerrera",,,"0","AAA"
"KAZMA","KAZMA",,,"0","2AW"
"Kengo Mashimo","Kengo Mashimo",,,"0","2AW"
"Kunio Toshima","Kunio Toshima",,,"0","2AW"
"Manami Kanda","Manami Kanda",,,"0","2AW"
"Mikata Fuyuki","Mikata Fuyuki",,,"0","2AW"
"Mike Lee Jr.","Mike Lee Jr.",,,"0","2AW"
"MIYAWAKI","MIYAWAKI",,,"0","2AW"
"Mr. X","Mr. X",,,"0","2AW"
"Ofune","Ofune",,,"0","2AW"
"Marines Mask II","Marines Mask II",,,"0","2AW"
"Ricky Fuji","Ricky Fuji",,,"0","2AW"
"Ryota Chikuzen","Ryota Chikuzen",,,"0","2AW"
"Saburo Inematsu","Saburo Inematsu",,,"0","2AW"
"Sambo Oishi","Sambo Oishi",,,"0","2AW"
"Shiori Asahi","Shiori Asahi",,,"0","2AW"
"Super X","Super X",,,"0","2AW"
"TAKA Michinoku","TAKA Michinoku",,,"0","2AW"
"Konnan","Konnan",,,"0","AAA"
"Teppei Ishizaka","Teppei Ishizaka",,,"0","2AW"
"Tomoka Nakagawa","Tomoka Nakagawa",,,"0","2AW"
"X's","X's",,,"0","2AW"
"Yasu Urano","Yasu Urano",,,"0","2AW"
"Yoshiaki Yago","Yoshiaki Yago",,,"0","2AW"
"YOSHIYA","YOSHIYA",,,"0","2AW"
"Yuji Hinoi","Yuji Hinoi",,,"0","2AW"
"Yusaku Obata","Yusaku Obata",,,"0","2AW"
"Scott Steiner","Scott Steiner",,,"0","AAA"
"Yuu Yamagata","Yuu Yamagata",,,"0","2AW"
"Rob Van Dam","Rob Van Dam",,,"0","AAA"
"Jack Evans","Jack Evans",,,"0","AAA"
"Rey de Reyes","Rey de Reyes",,,"0","AAA"
"Alex Koslov","Alex Koslov",,,"0","AAA"
"Monster Clown","Monster Clown",,,"0","AAA"
"Aní­bal Jr.","Anibal Jr.","1970","2021","1","AAA"
"Australian Suicide","Australian Suicide",,,"0","AAA"
"Antonio Peña","Antonio Pena","1951","2006","1","AAA"
"Black Magic","Black Magic",,,"0","AAA"
"The Black Family (Faction)","Black Family (Faction)",,,"0","AAA"
"Black Warrior","Black Warrior","1969","2023","1","AAA"
"Blue Demon Jr.","Blue Demon Jr.",,,"0","AAA"
"Bobby Lashley","Bobby Lashley",,,"0","AAA"
"Brian Cage","Brian Cage",,,"0","AAA"
"Carlito","Carlito",,,"0","AAA"
"Cassandro","Cassandro",,,"0","AAA"
"Charly Manson","Charly Manson",,,"0","AAA"
"Chessman","Chessman",,,"0","AAA"
"Canek","Canek",,,"0","AAA"
"Chris Stone","Chris Stone",,,"0","AAA"
"Cibernético","Cibernetico",,,"0","AAA"
"Crazy Boy","Crazy Boy",,,"0","AAA"
"Cynthia Moreno","Cynthia Moreno",,,"0","AAA"
"Daga","Daga",,,"0","AAA"
"Decnnis","Decnnis",,,"0","AAA"
"Chihuahueno del Mal (Faction)","Chihuahueno del Mal (Faction)",,,"0","AAA"
"Dinastí­a","Dinastia",,,"0","AAA"
"Dr. Wagner Jr.","Dr. Wagner Jr.",,,"0","AAA"
"Drago","Drago",,,"0","AAA"
"Óscar Sevilla","Oscar Sevilla",,,"0","AAA"
"El Brazo de Plata","El Brazo de Plata","1963","2021","1","AAA"
"El Consejo (Faction)","El Consejo (Faction)",,,"0","AAA"
"El Cobarde II","El Cobarde II",,,"0","AAA"
"El Dandy","El Dandy",,,"0","AAA"
"El Elegido","El Elegido",,,"0","AAA"
"El Mesí­as","El Mesias",,,"0","AAA"
"El Hijo del Santo","El Hijo del Santo",,,"0","AAA"
"El Oriental","El Oriental",,,"0","AAA"
"El Patrón Alberto","El Patron Alberto",,,"0","AAA"
"Texano","Texano","1958","2006","1","AAA"
"Volador","Volador",,,"0","AAA"
"Electroshock","Electroshock",,,"0","AAA"
"Estrellita","Estrellita",,,"0","AAA"
"Abismo Negro Jr.","Abismo Negro Jr.",,,"0","AAA"
"Fénix","Fenix",,,"0","AAA"
"Fishman","Fishman","1951","2017","1","AAA"
"Fuerza Guerrera","Fuerza Guerrera",,,"0","AAA"
"Gato Eveready","Gato Eveready",,,"0","AAA"
"Goddess","Goddess",,,"0","AAA"
"Groond XXX","Groond XXX",,,"0","AAA"
"Halloween","Halloween",,,"0","AAA"
"Headhunter 1","Headhunter 1",,,"0","AAA"
"Heavy Metal","Heavy Metal",,,"0","AAA"
"Héctor Garza","Hector Garza","1969","2013","1","AAA"
"El Hijo del Fantasma","El Hijo del Fantasma",,,"0","AAA"
"El Hijo del Pirata Morgan","El Hijo del Pirata Morgan",,,"0","AAA"
"Hombre Sin Miedo","Hombre Sin Miedo",,,"0","AAA"
"Ice Killer","Ice Killer","1960","2021","1","AAA"
"Inferno Rockers (Faction)","Inferno Rockers (Faction)",,,"0","AAA"
"Intocable","Intocable",,,"0","AAA"
"Jaque Mate","Jaque Mate",,,"0","AAA"
"Jeff Jarrett","Jeff Jarrett",,,"0","AAA"
"Jennifer Blake","Jennifer Blake",,,"0","AAA"
"Las Gringas Locas (Faction)","Las Gringas Locas (Faction)",,,"0","AAA"
"Jerry Estrada","Jerry Estrada",,,"0","AAA"
"Kaguya","Kaguya",,,"0","AAA"
"Kenzo Suzuki","Kenzo Suzuki",,,"0","AAA"
"Kick Boxer","Kick Boxer",,,"0","AAA"
"The Killer","Killer",,,"0","AAA"
"Atsushi Onita","Atsushi Onita",,,"0","M-PRO"
"Bad Boy","Badboy",,,"0","M-PRO"
"El Samurai","El Samurai",,,"0","M-PRO"
"Gran Hamada","Gran Hamada","1950","2025","1","M-PRO"
"Heat","Heat",,,"0","M-PRO"
"Hideki Hosaka","Hideki Hosaka","1971","2021","1","M-PRO"
"Junji Tanaka","Junji Tanaka",,,"0","M-PRO"
"Jushin 'Thunder' Liger","Jushin 'Thunder' Liger",,,"0","M-PRO"
"K-ness.","K-ness.",,,"0","DG"
"Kagetora","Kagetora",,,"0","M-PRO"
"Kaijin Habu Okoto","Kaijin Habu Okoto",,,"0","M-PRO"
"Kenbai","Kenbai",,,"0","M-PRO"
"Kesen Numajiro","Kesen Numajiro",,,"0","M-PRO"
"Kinya Oyanagi","Kinya Oyanagi",,,"0","M-PRO"
"Komachi","Komachi",,,"0","M-PRO"
"Manjimaru","Manjimaru",,,"0","M-PRO"
"Masao Orihara","Masao Orihara",,,"0","M-PRO"
"Masato Yakushiji","Masato Yakushiji",,,"0","M-PRO"
"Shiryu","Shiryu",,,"0","M-PRO"
"Solar","Solar",,,"0","M-PRO"
"Takeshi Minamino","Takeshi Minamino",,,"0","M-PRO"
"The Great Zebra","Great Zebra",,,"0","M-PRO"
"The Undertaker","Undertaker",,,"0","M-PRO"
"Tigers Mask","Tigers Mask",,,"0","M-PRO"
"Ultraman Robin","Ultraman Robin",,,"0","M-PRO"
"Villaño IV","Villano IV",,,"0","M-PRO"
"Yapper Man 3","Yapper Man 3",,,"0","M-PRO"
"Yoshito Sugamoto","Yoshito Sugamoto",,,"0","M-PRO"
"Combat Toyoda Retirement Match Opening Theme","Combat Toyoda Retirement Match Opening Theme",,,"0","FMW"
"FMW Ending Theme","FMW Ending Theme",,,"0","FMW"
"FMW Main Theme","FMW Main Theme",,,"0","FMW"
"FMW Opening Theme","FMW Opening Theme",,,"0","FMW"
"Recaps/Build Ups","Recaps/Build Ups",,,"0","AAA"
"AAA Official Theme","AAA Official Theme",,,"0","AAA"
"TripleMania","TripleMania",,,"0","AAA"
"AAA TV Musica Finale (Yo Soy AAA)","AAA TV Musica Finale (Yo Soy AAA)",,,"0","AAA"
"Verano de Escandalo ","Verano de Escandalo",,,"0","AAA"
"Antonio Peña AAA Tribute","Antonio Pena AAA Tribute",,,"0","AAA"
"Texano Jr.","Texano Jr.",,,"0","AAA"
"Los Vatos Locos (Faction)","Los Vatos Locos (Faction)",,,"0","AAA"
"Perro Aguayo","Perro Aguayo","1946","2019","1","AAA"
"Pimpinela Escarlata","Pimpinela Escarlata",,,"0","AAA"
"Pirata Morgan","Pirata Morgan",,,"0","AAA"
"Polvo de Estrellas","Polvo de Estrellas",,,"0","AAA"
"Psycho Circus (Faction)","Psycho Circus (Faction)",,,"0","AAA"
"Relámpago","Relampago",,,"0","AAA"
"Rellik","Rellik",,,"0","AAA"
"Rey Mysterio Jr.","Rey Mysterio Jr.",,,"0","AAA"
"Rocky Romero","Rocky Romero",,,"0","AAA"
"Ron Killings","Ron Killings",,,"0","AAA"
"Sabu","Sabu",,,"0","AAA"
"Sangre Chicana","Sangre Chicana",,,"0","AAA"
"Scorpió Jr.","Scorpio Jr.","1966","2024","1","AAA"
"Sean Waltman","Sean Waltman",,,"0","AAA"
"Sexy Star","Sexy Star",,,"0","AAA"
"L.A. Park","L.A. Park",,,"0","AAA"
"DJ Z","DJ Z",,,"0","AAA"
"Highlights of the Year 1985","Highlights of the Year 1985",,,"0","WWE"
"Shocker","Shocker",,,"0","AAA"
"Shu El Guerrero","Shu El Guerrero",,,"0","AAA"
"Sugi San","Sugi San",,,"0","AAA"
"Súper Crazy","Super Crazy",,,"0","AAA"
"Súper Fly","Super Fly",,,"0","AAA"
"Teddy Hart","Teddy Hart",,,"0","AAA"
"Nicho El Millonario","Nicho El Millonario",,,"0","AAA"
"The Night Queens (Faction)","Night Queens (Faction)",,,"0","AAA"
"Tiffany","Tiffany",,,"0","AAA"
"Mocho Cota Jr.","Mocho Cota Jr.",,,"0","AAA"
"Vampiro","Vampiro",,,"0","AAA"
"Yuriko","Yuriko",,,"0","AAA"
"Zumbido","Zumbido",,,"0","AAA"
"Angel Williams","Angel Williams",,,"0","AAA"
"Cien Caras","Cien Caras",,,"0","AAA"
"Cuije","Cuije",,,"0","AAA"
"Dark Ozz","Dark Ozz",,,"0","AAA"
"Joe Lí­der","Joe Lider",,,"0","AAA"
"La Braza","La Braza","1961","2013","1","AAA"
"El Guapito","El Guapito",,,"0","AAA"
"La Secta (Faction)","La Secta (Faction)",,,"0","AAA"
"Niño Hamburguesa","Nino Hamburguesa",,,"0","AAA"
"Go Shiozaki","Go Shiozaki",,,"0","AAA"
"Histeria III","Histeria III","1984","2022","1","AAA"
"La Milicia (Faction)","La Milicia (Faction)",,,"0","AAA"
"Intocable's Dance Songs","Intocable Dance Songs",,,"0","AAA"
"Joaquí­n Roldán","Joaquin Roldan","1953","2017","1","AAA"
"La Diabólica","La Diabolica",,,"0","AAA"
"La Familia de Tijuana (Faction)","La Familia de Tijuana (Faction)",,,"0","AAA"
"La Parka II","La Parka II","1966","2020","1","AAA"
"La Parkita III","La Parkita III",,,"0","AAA"
"La Pirata Familia (Faction)","La Pirata Familia (Faction)",,,"0","AAA"
"Laredo Kid","Laredo Kid",,,"0","AAA"
"Latin Lover","Latin Lover",,,"0","AAA"
"Aerostar","Aerostar",,,"0","AAA"
"Leatherface","Leatherface",,,"0","AAA"
"La Legión Extranjera","La Legion Extranjera",,,"0","AAA"
"Abyss","Abyss",,,"0","AAA"
"Lucha Libre Latina (LLL) [Faction]","Lucha Libre Latina (LLL) [Faction]",,,"0","AAA"
"Los Bizarros (Faction)","Los Bizarros (Faction)",,,"0","AAA"
"Los Diabólicos (Faction)","Los Diabolicos (Faction)",,,"0","AAA"
"Los Gringos Locos (Faction)","Los Gringos Locos (Faction)",,,"0","AAA"
"Sting","Sting",,,"0","AAA"
"Los Guapos VIP (Faction)","Los Guapos VIP (Faction)",,,"0","AAA"
"Los Kumbia Kids (Faction)","Los Kumbia Kids (Faction)",,,"0","AAA"
"La Nueva Generación Vipers (Faction)","La Nueva Generacion Vipers (Faction)",,,"0","AAA"
"Gronda II","Gronda II",,,"0","AAA"
"Madonna's Boyfriend","Madonna's Boyfriend","1971","1998","1","AAA"
"Mary Apache","Mary Apache",,,"0","AAA"
"Máscara Sagrada III","Mascara Sagrada III",,,"0","AAA"
"Mascarita Divina","Mascarita Divina",,,"0","AAA"
"Mascarita Dorada","Mascarita Dorada",,,"0","AAA"
"Mascarita Sagrada VI","Mascarita Sagrada VI",,,"0","AAA"
"Mini Abismo Negro","Mini Abismo Negro",,,"0","AAA"
"Mini Charly Manson","Mini Charly Manson",,,"0","AAA"
"Mini Chessman","Mini Chessman","1967","2014","1","AAA"
"Matt Morgan","Matt Morgan",,,"0","AAA"
"Mini Histeria II","Mini Histeria II",,,"0","AAA"
"Mini Psicosis","Mini Psicosis",,,"0","AAA"
"Mr. Niebla","Mr. Niebla","1973","2019","1","AAA"
"Steve Pain","Steve Pain",,,"0","AAA"
"Octagón","Octagon",,,"0","AAA"
"La Anarquí­a (Faction)","La Anarquia (Faction)",,,"0","AAA"
"Octagoncito III","Octagoncito III",,,"0","AAA"
"Pasión Crystal","Pasion Crystal","1976","2021","1","AAA"
"Pentagón Black","Pentagon Black",,,"0","AAA"
"Pentagón Jr.","Pentagon Jr.",,,"0","AAA"
"Kid Azteca","Kid Azteca",,,"0","AAA"
"Rey Escorpión","Rey Escorpion",,,"0","AAA"
"Tiger Steel","Tiger Steel",,,"0","AAA"
"Kiss","Kiss",,,"0","AAA"
"Abdullah the Butcher","Abdullah the Butcher",,,"0","JCW"
"Abyss","Abyss",,,"0","JCW"
"Amber O'Neal","Amber O'Neal",,,"0","JCW"
"Balls Mahoney","Balls Mahoney","1972","2016","1","JCW"
"Battle Royal Participants","Battle Royal Participants",,,"0","JCW"
"The Blue Meanie","Blue Meanie",,,"0","JCW"
"Bob Orton","Bob Orton",,,"0","JCW"
"Bobby Lashley","Bobby Lashley",,,"0","JCW"
"The Boogeyman","Boogeyman",,,"0","JCW"
"Booker T","Booker T",,,"0","JCW"
"Breyer Wellington","Breyer Wellington",,,"0","JCW"
"Brutus Beefcake","Brutus Beefcake",,,"0","JCW"
"Butterbean","Butterbean",,,"0","JCW"
"Carlito","Carlito",,,"0","JCW"
"Chick Foley","Chick Foley",,,"0","JCW"
"Greg Valentine","Greg Valentine",,,"0","JCW"
"Chris Hero","Chris Hero",,,"0","JCW"
"Chris Masters","Chris Masters",,,"0","JCW"
"Corporal Robinson","Corporal Robinson",,,"0","JCW"
"Cousin Eddie","Cousin Eddie",,,"0","JCW"
"Dick Nipple","Dick Nipple",,,"0","JCW"
"Doug Gilbert","Doug Gilbert",,,"0","JCW"
"D-Ray 3000","D-Ray 3000",,,"0","JCW"
"Dutch Mantell","Dutch Mantell",,,"0","JCW"
"Evil Dead","Evil Dead",,,"0","JCW"
"Fat Fuck Barrel Boy","Fat Fuck Barrel Boy",,,"0","JCW"
"Feminem","Feminem",,,"0","JCW"
"Guido Andretti","Guido Andretti",,,"0","JCW"
"Hollywood Chuck Hogan","Hollywood Chuck Hogan",,,"0","JCW"
"Honky Tonk Man","Honky Tonk Man",,,"0","JCW"
"The Hornswagglin' Hillbilly","Hornswagglin' Hillbilly",,,"0","JCW"
"Hy Zaya","Hy Zaya",,,"0","JCW"
"Ian Rotten","Ian Rotten",,,"0","JCW"
"Isis","Isis",,,"0","JCW"
"Izzy High","Izzy High",,,"0","JCW"
"Jake Roberts","Jake Roberts",,,"0","JCW"
"Jeff Jarrett","Jeff Jarrett",,,"0","JCW"
"Jeremy Borash","Jeremy Borash",,,"0","JCW"
"Jerry 'The King' Lawler","Jerry Lawler",,,"0","JCW"
"Jim Duggan","Jim Duggan",,,"0","JCW"
"Jimmy Jacobs","Jimmy Jacobs",,,"0","JCW"
"John Morrison","John Morrison",,,"0","JCW"
"Josh Prohibition","Josh Prohibition",,,"0","JCW"
"Justice Jones","Justice Jones",,,"0","JCW"
"Kamala","Kamala","1950","2020","1","JCW"
"Kid Kash","Kid Kash",,,"0","JCW"
"King Kong Bundy","King Kong Bundy","1957","2019","1","JCW"
"Luke Gallows","Luke Gallows",,,"0","JCW"
"The Man of 1000 Gimmicks","Man of 1000 Gimmicks",,,"0","JCW"
"Matt Hardy","Matt Hardy",,,"0","JCW"
"Matt Cross","Matt Cross",,,"0","JCW"
"Mike Knox","Mike Knox",,,"0","JCW"
"Milk Dud the Cow","Milk Dud the Cow",,,"0","JCW"
"Monty Brown","Monty Brown",,,"0","JCW"
"NOSAWA","NOSAWA",,,"0","JCW"
"Officer Colt Cabana","Officer Colt Cabana",,,"0","JCW"
"Jeff Hardy Returns to Action","Jeff Hardy Returns to Action",,,"0","TNA"
"The Dollhouse is Coming","Dollhouse is Coming",,,"0","TNA"
"Hardcore Justice 2015: Opening Video","Hardcore Justice 2015: Opening Video",,,"0","TNA"
"Lockdown 2015: Opening Video","Lockdown 2015: Opening Video",,,"0","TNA"
"Rudy Reyna","Rudy Reyna","1946","2015","1","AAA"
"Súper Caló","Super Calo",,,"0","AAA"
"Raven","Raven",,,"0","JCW"
"Redneck Devil Without A Cause","Redneck Devil Without A Cause",,,"0","JCW"
"Rhino","Rhino",,,"0","JCW"
"Randi West","Randi West",,,"0","JCW"
"Road Dogg","Road Dogg",,,"0","JCW"
"Rob Conway","Rob Conway",,,"0","JCW"
"El Salsero","El Salsero",,,"0","AAA"
"Ron Killings","Ron Killings",,,"0","JCW"
"Rude Boy","Rude Boy",,,"0","JCW"
"Rusty Goodwrench","Rusty Goodwrench",,,"0","JCW"
"Sabu","Sabu",,,"0","JCW"
"Sal Wilson","Sal Wilson",,,"0","JCW"
"The Samoan Warrior","Samoan Warrior",,,"0","JCW"
"Scott Hall","Scott Hall","1958","2022","1","JCW"
"Scott Steiner","Scott Steiner",,,"0","JCW"
"Sexy Slim Goody","Sexy Slim Goody",,,"0","JCW"
"Shawn Daivari","Shawn Daivari",,,"0","JCW"
"Lizmark","Lizmark","1950","2015","1","AAA"
"Blue Panther","Blue Panther",,,"0","AAA"
"Terry Funk","Terry Funk","1944","2023","1","JCW"
"Tito Santana","Tito Santana",,,"0","JCW"
"Tommy Rich","Tommy Rich",,,"0","JCW"
"Tracy Smothers","Tracy Smothers","1962","2020","1","JCW"
"Máscara Año 2000","Mascara Ano 2000",,,"0","AAA"
"Truth Martini","Truth Martini",,,"0","JCW"
"Twinkie Hop","Twinkie Hop",,,"0","JCW"
"U-Gene","U-Gene",,,"0","JCW"
"Último Dragón","Ultimo Dragon",,,"0","JCW"
"Vader","Vader","1955","2018","1","JCW"
"Valentina","Valentina",,,"0","JCW"
"Vampiro","Vampiro",,,"0","JCW"
"Violent J","Violent J",,,"0","JCW"
"The Yellow Dog","Yellow Dog",,,"0","JCW"
"Zach Gowen","Zach Gowen",,,"0","JCW"
"Onita Atsushi FMW","Onita Atsushi FMW",,,"0","FMW"
"The Crypt Keeper II","Crypt Keeper II",,,"0","FMW"
"Freddy Krugger","Freddy Krugger",,,"0","FMW"
"Jason the Terrible","Jason the Terrible",,,"0","FMW"
"Masayoshi Motegi","Masayoshi Motegi",,,"0","FMW"
"Shoji Nakamaki","Shoji Nakamaki",,,"0","FMW"
"Victor Quinones","Victor Quinones","1959","2006","1","FMW"
"W*INGER","Winger",,,"0","FMW"
"May Flowers","May Flowers",,,"0","AAA"
"Niebla Roja","Niebla Roja",,,"0","CMLL"
"Ángel de Oro","Angel de Oro",,,"0","CMLL"
"Apolo Dantés","Apolo Dantes",,,"0","CMLL"
"Arkángel de la Muerte","Arkangel de la Muerte","1966","2018","1","CMLL"
"As Jr.","As Jr.",,,"0","CMLL"
"Atlantis","Atlantis",,,"0","CMLL"
"Averno","Averno",,,"0","CMLL"
"Bam Bam","Bam Bam",,,"0","CMLL"
"Bestia Salvaje","Bestia Salvaje","1962","2008","1","CMLL"
"Black Magic","Black Magic",,,"0","CMLL"
"Sergio Corona","Sergio Corona",,,"0","AAA"
"Black Warrior","Black Warrior","1969","2023","1","CMLL"
"Blue Panther","Blue Panther",,,"0","CMLL"
"Bobby Villa","Bobby Villa",,,"0","CMLL"
"Bronco","Bronco",,,"0","CMLL"
"Camorra","Camorra",,,"0","CMLL"
"Scharly Rockstar","Scharly Rockstar",,,"0","CMLL"
"Cien Caras","Cien Caras",,,"0","CMLL"
"Chris Jericho","Chris Jericho",,,"0","CMLL"
"Damián 666","Damian 666",,,"0","CMLL"
"Dark Angel","Dark Angel",,,"0","CMLL"
"Delta","Delta",,,"0","CMLL"
"Diamante","Diamante",,,"0","CMLL"
"Diana La Cazadora","Diana La Cazadora",,,"0","CMLL"
"Dos Caras Jr.","Dos Caras Jr.",,,"0","CMLL"
"Dragón Lee II","Dragon Lee II",,,"0","CMLL"
"Dragón Rojo Jr.","Dragon Rojo Jr.",,,"0","CMLL"
"El Dandy","El Dandy",,,"0","CMLL"
"Namajague","Namajague",,,"0","CMLL"
"El Sagrado","El Sagrado",,,"0","CMLL"
"El Satánico","El Satanico",,,"0","CMLL"
"Supremo","Supremo","1942","2010","1","CMLL"
"Vampiro","Vampiro",,,"0","CMLL"
"Volador","Volador",,,"0","CMLL"
"Emilio Charles Jr.","Emilio Charles Jr.","1956","2012","1","CMLL"
"Rey Escorpión","Rey Escorpión",,,"0","CMLL"
"Fabián el Gitano","Fabian El Gitano","1972","2011","1","CMLL"
"Fantasy II","Fantasy II",,,"0","CMLL"
"Fishman","Fishman","1951","2017","1","CMLL"
"Flyer","Flyer",,,"0","CMLL"
"Goddess","Goddess",,,"0","CMLL"
"Goya Kong","Goya Kong",,,"0","CMLL"
"Rocky Romero","Rocky Romero",,,"0","CMLL"
